Data,Hora UTC,PRECIPITACAO TOTAL,TEMPERATURA MAXIMA,TEMPERATURA MINIMA,UMIDADE REL MAX,UMIDADE REL MIN
2021/01/15,1400 UTC,0,17,4,7,18
2021/01/15,1500 UTC,0,1,16,2,26
2021/01/15,1600 UTC,0,5,17,2,26
2021/01/15,1700 UTC,0,7,29,4,18
2021/01/15,1800 UTC,0,9,27,2,15
2021/01/15,1900 UTC,0,29,1,17,6
2021/01/15,2000 UTC,0,7,17,3,21
2021/01/15,2100 UTC,13,19,9,21,7
2021/01/15,2200 UTC,1,20,19,5,18
2021/01/15,2300 UTC,0,9,20,18,9
2021/01/16,0000 UTC,0,19,20,2,19
2021/01/16,0100 UTC,,9,18,6,19
2021/01/16,0200 UTC,0,17,5,18,5
2021/01/16,0300 UTC,0,17,2,18,8
2021/01/16,0400 UTC,0,19,8,18,3
2021/01/16,0500 UTC,0,20,19,4,17
2021/01/16,0600 UTC,,6,16,9,18
2021/01/16,0700 UTC,0,16,8,19,5
2021/01/16,0800 UTC,0,16,9,6,17
2021/01/16,0900 UTC,0,9,16,19,7
2021/01/16,1000 UTC,0,3,17,19,9
2021/01/16,1100 UTC,0,17,3,2,17
2021/01/16,1200 UTC,0,17,8,9,17
2021/01/16,1300 UTC,0,3,17,22,18
2021/01/16,1400 UTC,0,17,8,22,3
2021/01/16,1500 UTC,0,17,9,24,5
2021/01/16,1600 UTC,0,5,17,3,24
2021/01/16,1700 UTC,0,2,18,24,5
2021/01/16,1800 UTC,0,1,25,1,18
2021/01/16,1900 UTC,0,6,16,8,25
2021/01/16,2000 UTC,0,4,16,5,24
2021/01/16,2100 UTC,0,24,6,8,16
2021/01/16,2200 UTC,0,16,6,23,1
2021/01/16,2300 UTC,0,17,23,8,17
2021/01/17,0000 UTC,0,23,1,17,1
2021/01/17,0100 UTC,0,16,5,21,7
2021/01/17,0200 UTC,0,16,6,21,2
2021/01/17,0300 UTC,0,16,6,20,8
2021/01/17,0400 UTC,0,16,5,20,5
2021/01/17,0500 UTC,0,20,7,16,6
2021/01/17,0600 UTC,0,20,3,16,7
2021/01/17,0700 UTC,0,5,20,9,16
2021/01/17,0800 UTC,0,3,20,1,16
2021/01/17,0900 UTC,0,2,16,3,20
2021/01/17,1000 UTC,0,8,16,20,1
2021/01/17,1100 UTC,0,2,22,7,17
2021/01/17,1200 UTC,0,5,17,7,21
2021/01/17,1300 UTC,0,7,16,5,22
2021/01/17,1400 UTC,0,4,17,4,23
2021/01/17,1500 UTC,0,15,9,25,1
2021/01/17,1600 UTC,0,6,19,6,25
2021/01/17,1700 UTC,0,3,17,8,25
2021/01/17,1800 UTC,0,2,17,6,25
2021/01/17,1900 UTC,0,6,16,3,26
2021/01/17,2000 UTC,0,15,5,25,7
2021/01/17,2100 UTC,0,6,15,5,24
2021/01/17,2200 UTC,0,4,14,6,23
2021/01/17,2300 UTC,0,15,23,1,15
2021/01/18,0000 UTC,0,6,22,9,15
2021/01/18,0100 UTC,0,14,9,21,8
2021/01/18,0200 UTC,0,8,21,2,15
2021/01/18,0300 UTC,0,1,21,13,9
2021/01/18,0400 UTC,0,13,1,20,8
2021/01/18,0500 UTC,0,13,4,20,13
2021/01/18,0600 UTC,0,13,5,20,2
2021/01/18,0700 UTC,0,8,20,9,13
2021/01/18,0800 UTC,0,13,5,19,3
2021/01/18,0900 UTC,0,14,2,18,8
2021/01/18,1000 UTC,0,8,15,19,15
2021/01/18,1100 UTC,0,8,15,20,7
2021/01/18,1200 UTC,0,7,16,7,22
2021/01/18,1300 UTC,0,14,4,4,17
2021/01/18,1400 UTC,0,4,15,4,24
2021/01/18,1500 UTC,0,7,29,4,16
2021/01/18,1600 UTC,0,14,4,26,4
2021/01/18,1700 UTC,0,3,13,3,26
2021/01/18,1800 UTC,0,3,13,7,27
2021/01/18,1900 UTC,0,9,12,5,28
2021/01/18,2000 UTC,0,14,5,28,14
2021/01/18,2100 UTC,0,7,14,6,25
2021/01/18,2200 UTC,0,5,13,2,25
2021/01/18,2300 UTC,0,12,6,24,4
2021/01/19,0000 UTC,0,24,7,12,8
2021/01/19,0100 UTC,0,24,23,12,5
2021/01/19,0200 UTC,0,14,23,3,14
2021/01/19,0300 UTC,0,13,8,21,8
2021/01/19,0400 UTC,0,13,5,20,6
2021/01/19,0500 UTC,0,13,1,19,9
2021/01/19,0600 UTC,0,20,5,13,4
2021/01/19,0700 UTC,0,11,7,19,1
2021/01/19,0800 UTC,0,12,1,20,12
2021/01/19,0900 UTC,0,9,12,3,19
2021/01/19,1000 UTC,0,4,13,4,19
2021/01/19,1100 UTC,0,15,22,3,15
2021/01/19,1200 UTC,0,15,6,22,7
2021/01/19,1300 UTC,0,8,15,9,24
2021/01/19,1400 UTC,0,6,13,1,26
2021/01/19,1500 UTC,0,9,12,3,27
2021/01/19,1600 UTC,0,11,4,28,5
2021/01/19,1700 UTC,0,5,10,6,28
2021/01/19,1800 UTC,0,4,10,29,3
2021/01/19,1900 UTC,0,9,11,4,28
2021/01/19,2000 UTC,0,5,10,8,27
2021/01/19,2100 UTC,0,4,11,4,26
2021/01/19,2200 UTC,0,1,12,25,1
2021/01/19,2300 UTC,0,11,9,2,12
2021/01/20,0000 UTC,0,15,1,24,1
2021/01/20,0100 UTC,0,14,9,23,4
2021/01/20,0200 UTC,0,14,5,22,8
2021/01/20,0300 UTC,0,14,23,7,14
2021/01/20,0400 UTC,0,13,1,21,8
2021/01/20,0500 UTC,0,13,1,21,7
2021/01/20,0600 UTC,0,13,2,20,7
2021/01/20,0700 UTC,0,21,5,13,3
2021/01/20,0800 UTC,0,9,21,1,13
2021/01/20,0900 UTC,0,8,14,2,19
2021/01/20,1000 UTC,0,6,15,19,8
2021/01/20,1100 UTC,0,9,15,21,6
2021/01/20,1200 UTC,0,8,15,22,9
2021/01/20,1300 UTC,0,15,7,24,8
2021/01/20,1400 UTC,0,2,14,2,26
2021/01/20,1500 UTC,0,9,13,4,27
2021/01/20,1600 UTC,0,11,9,27,2
2021/01/20,1700 UTC,0,7,11,9,26
2021/01/20,1800 UTC,0,8,7,28,1
2021/01/20,1900 UTC,0,9,9,4,29
2021/01/20,2000 UTC,0,6,11,2,27
2021/01/20,2100 UTC,0,2,12,7,26
2021/01/20,2200 UTC,0,8,26,2,13
2021/01/20,2300 UTC,0,1,25,4,12
2021/01/21,0000 UTC,0,11,3,23,5
2021/01/21,0100 UTC,0,9,6,23,4
2021/01/21,0200 UTC,0,9,4,22,7
2021/01/21,0300 UTC,0,23,2,10,7
2021/01/21,0400 UTC,0,9,21,9,11
2021/01/21,0500 UTC,0,10,9,4,11
2021/01/21,0600 UTC,0,11,3,20,6
2021/01/21,0700 UTC,0,12,5,17,9
2021/01/21,0800 UTC,0,13,1,19,2
2021/01/21,0900 UTC,0,5,13,9,19
2021/01/21,1000 UTC,0,14,7,3,14
2021/01/21,1100 UTC,0,9,15,20,15
2021/01/21,1200 UTC,0,15,1,20,8
2021/01/21,1300 UTC,0,8,15,1,21
2021/01/21,1400 UTC,0,1,16,3,24
2021/01/21,1500 UTC,0,9,15,6,25
2021/01/21,1600 UTC,0,4,14,2,26
2021/01/21,1700 UTC,0,5,13,7,27
2021/01/21,1800 UTC,0,12,9,27,4
2021/01/21,1900 UTC,0,5,13,26,8
2021/01/21,2000 UTC,0,2,11,6,27
2021/01/21,2100 UTC,0,8,11,3,25
2021/01/21,2200 UTC,0,12,3,24,5
2021/01/21,2300 UTC,0,12,5,24,1
2021/01/22,0000 UTC,0,12,5,23,6
2021/01/22,0100 UTC,0,23,7,13,2
2021/01/22,0200 UTC,0,23,22,1,12
2021/01/22,0300 UTC,0,2,22,8,13
2021/01/22,0400 UTC,0,13,3,21,7
2021/01/22,0500 UTC,0,13,3,21,1
2021/01/22,0600 UTC,0,13,7,20,5
2021/01/22,0700 UTC,0,13,9,19,7
2021/01/22,0800 UTC,0,14,1,19,2
2021/01/22,0900 UTC,0,14,2,19,2
2021/01/22,1000 UTC,0,9,14,9,19
2021/01/22,1100 UTC,0,6,13,8,20
2021/01/22,1200 UTC,0,5,14,6,22
2021/01/22,1300 UTC,0,8,13,4,24
2021/01/22,1400 UTC,0,8,14,3,25
2021/01/22,1500 UTC,0,8,27,1,15
2021/01/22,1600 UTC,0,12,8,27,5
2021/01/22,1700 UTC,0,9,14,26,9
2021/01/22,1800 UTC,0,13,1,26,8
2021/01/22,1900 UTC,0,13,1,1,13
2021/01/22,2000 UTC,0,13,6,26,6
2021/01/22,2100 UTC,0,3,13,25,3
2021/01/22,2200 UTC,0,14,2,24,3
2021/01/22,2300 UTC,0,14,4,23,5
2021/01/23,0000 UTC,0,14,3,23,2
2021/01/23,0100 UTC,0,14,3,22,1
2021/01/23,0200 UTC,0,8,21,9,14
2021/01/23,0300 UTC,0,15,5,21,1
2021/01/23,0400 UTC,0,15,6,20,8
2021/01/23,0500 UTC,0,15,9,20,3
2021/01/23,0600 UTC,0,2,20,3,16
2021/01/23,0700 UTC,,16,9,18,6
2021/01/23,0800 UTC,,8,17,9,18
2021/01/23,0900 UTC,,18,3,19,18
2021/01/23,1000 UTC,,19,17,18,1
2021/01/23,1100 UTC,0,2,16,4,18
2021/01/23,1200 UTC,0,16,3,1,17
2021/01/23,1300 UTC,,23,4,4,21
2021/01/23,1400 UTC,0,15,5,22,7
2021/01/23,1500 UTC,0,3,14,2,23
2021/01/23,1600 UTC,0,8,27,3,16
2021/01/23,1700 UTC,0,8,28,7,14
2021/01/23,1800 UTC,0,4,13,26,6
2021/01/23,1900 UTC,0,8,12,8,27
2021/01/23,2000 UTC,0,2,13,8,25
2021/01/23,2100 UTC,0,5,13,4,25
2021/01/23,2200 UTC,0,3,12,6,24
2021/01/23,2300 UTC,0,2,24,8,13
2021/01/24,0000 UTC,0,12,6,22,7
2021/01/24,0100 UTC,0,12,4,2,12
2021/01/24,0200 UTC,0,13,22,9,13
2021/01/24,0300 UTC,0,14,2,21,1
2021/01/24,0400 UTC,0,14,6,20,4
2021/01/24,0500 UTC,0,8,20,14,9
2021/01/24,0600 UTC,0,15,2,19,5
2021/01/24,0700 UTC,0,5,19,15,5
2021/01/24,0800 UTC,0,6,19,7,15
2021/01/24,0900 UTC,0,7,15,9,18
2021/01/24,1000 UTC,0,15,6,18,7
2021/01/24,1100 UTC,0,9,15,9,20
2021/01/24,1200 UTC,0,3,15,9,21
2021/01/24,1300 UTC,0,6,15,23,3
2021/01/24,1400 UTC,0,14,7,25,2
2021/01/24,1500 UTC,0,9,14,3,26
2021/01/24,1600 UTC,0,3,14,7,26
2021/01/24,1700 UTC,0,2,14,4,27
2021/01/24,1800 UTC,0,7,14,5,27
